bundle,asset_name,kind,size,raw_offset,file
binary,gamecore.behavior.actions.ai.aisetdiscipleactive,lua,248,2491112,binary\gamecore.behavior.actions.ai.aisetdiscipleactive.lua
binary,gamesys.chatsystem.chatemotmodel,lua,8658,2491416,binary\gamesys.chatsystem.chatemotmodel.lua
binary,gamesys.equipssystem.equipsjinglianmodel,lua,2529,2500120,binary\gamesys.equipssystem.equipsjinglianmodel.lua
binary,gui.windows.main.uimainbottomwin,lua,17384,2502704,binary\gui.windows.main.uimainbottomwin.lua
binary,gamesys.chatsystem.struct.chatactorinfo,lua,3476,2520128,binary\gamesys.chatsystem.struct.chatactorinfo.lua
binary,gamesys.main.mainconfig,lua,2569,2523656,binary\gamesys.main.mainconfig.lua
binary,gui.windows.home.uimapswitchwin,lua,1538,2526264,binary\gui.windows.home.uimapswitchwin.lua
binary,gui.windows.zongmenvisitorchallenge.uivisitorchanllengefightlosewin,lua,5798,2527848,binary\gui.windows.zongmenvisitorchallenge.uivisitorchanllengefightlosewin.lua
binary,gamesys.worldsystem.worldtasksystem.worldtaskcontroller_fake,lua,5901,2533728,binary\gamesys.worldsystem.worldtasksystem.worldtaskcontroller_fake.lua
binary,gui.windows.common.uidescribetips4,lua,1814,2539704,binary\gui.windows.common.uidescribetips4.lua
binary,gui.windows.common.uiforegroundtwowin,lua,7013,2541568,binary\gui.windows.common.uiforegroundtwowin.lua
binary,gamesys.activities.sub.subactivityinfo_zushishouji,lua,11921,2548632,binary\gamesys.activities.sub.subactivityinfo_zushishouji.lua
binary,platformsdk.platformsdk_meituan_xj,txt,60,2560616,binary\platformsdk.platformsdk_meituan_xj.txt
binary,gui.windows.activities.ui_activity_main_win,lua,12637,2560720,binary\gui.windows.activities.ui_activity_main_win.lua
binary,gamesys.xianjie.hud.xjentityhud_station,lua,757,2573416,binary\gamesys.xianjie.hud.xjentityhud_station.lua
binary,gui.windows.zhengtaomojiang.uizhengtaomojiangmonsterinfowin,lua,35908,2574224,binary\gui.windows.zhengtaomojiang.uizhengtaomojiangmonsterinfowin.lua
binary,gamesys.fightsystem.battle.behavior.fight.fbtentityfloatnode,lua,1951,2610200,binary\gamesys.fightsystem.battle.behavior.fight.fbtentityfloatnode.lua
binary,gui.windows.danyao.uidanyaolianzhiwin,lua,2964,2612224,binary\gui.windows.danyao.uidanyaolianzhiwin.lua
binary,gamesys.bagsystem.xingchenbag.xingchenhelper_ronghe,lua,2687,2615240,binary\gamesys.bagsystem.xingchenbag.xingchenhelper_ronghe.lua
binary,gamesys.xianjie.xianjiecontroller_lingshou,lua,5907,2617992,binary\gamesys.xianjie.xianjiecontroller_lingshou.lua
binary,gui.windows.baolingshu.uibaolingshupickup_tipswin,lua,5562,2623952,binary\gui.windows.baolingshu.uibaolingshupickup_tipswin.lua
binary,gui.windows.main.uientrychild.uienterxianyuanxunfang,lua,2298,2629576,binary\gui.windows.main.uientrychild.uienterxianyuanxunfang.lua
binary,gui.windows.yifanglingtian.uiyflttipswin,lua,30844,2631936,binary\gui.windows.yifanglingtian.uiyflttipswin.lua
binary,gui.windows.wendingcangqiong.uiwdcqguessresultwin,lua,6187,2662832,binary\gui.windows.wendingcangqiong.uiwdcqguessresultwin.lua
binary,gui.windows.gubao.uigubaoupstarwin,lua,17728,2669080,binary\gui.windows.gubao.uigubaoupstarwin.lua
binary,gamesys.scene.loadcontrol,lua,2361,2686856,binary\gamesys.scene.loadcontrol.lua
binary,gamesys.eventsystem.action.eventbaseaction,lua,360,2689256,binary\gamesys.eventsystem.action.eventbaseaction.lua
binary,gui.windows.zongmenvisitorchallenge.uivisitorchallengeoptionselectwin,lua,14238,2689672,binary\gui.windows.zongmenvisitorchallenge.uivisitorchallengeoptionselectwin.lua
binary,gui.windows.xianjiearenaact.uixianjiearenaact_infowin,lua,32133,2703992,binary\gui.windows.xianjiearenaact.uixianjiearenaact_infowin.lua
binary,gui.windows.xianjiebuilding.littleworld.uixjlittleworldeventwin,lua,1580,2736192,binary\gui.windows.xianjiebuilding.littleworld.uixjlittleworldeventwin.lua
binary,gamesys.activities.sub.subactivityinfo_xianjutehui,lua,478,2737848,binary\gamesys.activities.sub.subactivityinfo_xianjutehui.lua
binary,gui.windows.xianjie.uixianjielingshouyyxwin,lua,4051,2738392,binary\gui.windows.xianjie.uixianjielingshouyyxwin.lua
binary,gui.windows.xianjiejieyin.uixianjiejieyin_supportwin,lua,12011,2742496,binary\gui.windows.xianjiejieyin.uixianjiejieyin_supportwin.lua
binary,gamesys.activities.sub.subactivityinfo_guitutequan,lua,566,2754568,binary\gamesys.activities.sub.subactivityinfo_guitutequan.lua
binary,gamesys.seasonsystem.seasonmodel_task,lua,2787,2755200,binary\gamesys.seasonsystem.seasonmodel_task.lua
binary,gui.windows.activities.sub_chaozhitehui.uiselectitemwin,lua,8530,2758040,binary\gui.windows.activities.sub_chaozhitehui.uiselectitemwin.lua
binary,gui.windows.xianmeng.act_zhengzhanshanhai.uixm_zzsh_momentumtipswin,lua,2427,2766640,binary\gui.windows.xianmeng.act_zhengzhanshanhai.uixm_zzsh_momentumtipswin.lua
binary,gui.windows.xianjiefumo.uibackgroundcomponent_xjfm,lua,1111,2769144,binary\gui.windows.xianjiefumo.uibackgroundcomponent_xjfm.lua
binary,gui.windows.common.child.uiblurbackgroundcomponet,lua,1416,2770320,binary\gui.windows.common.child.uiblurbackgroundcomponet.lua
binary,gui.windows.uidialouge.uidialougebuycountnotip,lua,8578,2771800,binary\gui.windows.uidialouge.uidialougebuycountnotip.lua
binary,gamesys.limitactivities.child.limitactinfo_xianguanwenxuan_bw,lua,940,2780440,binary\gamesys.limitactivities.child.limitactinfo_xianguanwenxuan_bw.lua
binary,gui.windows.chat.noexport.uichatrightcangbaogesositem,lua,3518,2781456,binary\gui.windows.chat.noexport.uichatrightcangbaogesositem.lua
