protocel_key,func_id,in_protocol,in_lua,lua_files
2,135,table_A,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,136,table_A,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,137,table_A,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,138,table_A,N,
2,139,table_A,N,
2,140,table_A,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,141,table_A,N,
2,142,table_A,N,
2,143,table_A,N,
2,144,table_A,N,
2,145,table_A,N,
2,146,table_A,N,
2,147,table_A,N,
2,149,table_A,N,
2,150,table_A,N,
2,151,table_A,N,
2,153,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,154,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,155,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,156,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,157,table_A,Y,gui.windows.chuangongge.uichuangonggecontrol.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,158,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,159,table_A,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,161,table_A,N,
2,162,table_A,N,
2,163,table_A,N,
2,164,table_A,N,
2,171,table_A,N,
2,172,table_A,N,
2,176,table_A,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,181,table_A,N,
2,182,table_A,N,
2,183,table_A,N,
2,184,table_A,N,
2,185,table_A,N,
2,186,table_A,N,
2,191,table_A,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,192,table_A,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,193,table_A,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,194,table_A,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,195,table_A,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,197,table_A,N,
2,198,table_A,N,
2,199,table_A,N,
2,200,table_A,N,
2,201,table_A,N,
2,203,table_A,N,
2,1,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,2,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,4,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,5,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
